二级分类,报告期,总资产(亿元),货币资产(亿元),净资产(亿元),总债务(亿元),带息债务(亿元),净债务(亿元),经营活动现金流(亿元),投资活动现金流(亿元),筹资活动现金流(亿元),主营业务收入(亿元),主营业务利润(亿元),净利润(亿元),主营业务利润率(%),主营业务收入增长率(%),总资产报酬率(%),净资产回报率(%),流动比率,速动比率,存货周转率,资产负债率,短期债务/总债务,带息债务/总投入资本,货币资金/短期债务,货币资金/总债务,获息倍数,old短期债务/总债务,new短期债务/总债务,old资产负债率,new资产负债率,old存货周转率,new存货周转率,old流动比率,new流动比率,old总资产报酬率(%),new总资产报酬率(%),old主营业务收入增长率(%),new主营业务收入增长率(%),old主营业务利润率(%),new主营业务利润率(%)
专业技术服务,2006/12/31,25.82170972,3.715945637,9.256375528,10.83363437,3.507119208,-0.208826429,1.741624962,-1.186941203,0.27821634,21.57796217,0.786571351,0.888232508,3.6453,,4.8542,6.1834,1.9118,1.2007,3.56,41.9555,68.6239,27.4777,0.570463415,0.343000835,5.4182,1,1,1,1,1,1,1,1,1,1,1,1,1,1
专业技术服务,2007/12/31,19.14737986,4.055743417,8.508695923,7.348907253,2.446219421,-1.609523996,1.654521215,-0.603403325,0.003324429,17.98187049,1.414586114,1.212076694,12.17375,31.0358,10.00795,11.84195,2.0171,1.58605,6.9575,39.75245,69.85705,20.9613,1.062625007,0.614204129,45.33505,2,2,2,2,2,2,2,2,2,2,2,2,2,2
专业技术服务,2008/12/31,14.1847338,3.353237389,7.012372592,4.684234247,1.488100935,-1.865136454,1.970781157,-1.076017792,-0.306959663,14.41377888,1.551048927,1.434123027,23.86313333,23.24435,15.82923333,22.18916667,1.683666667,1.320233333,6.0863,37.9354,78.08793333,23.30073333,0.930546841,0.624593805,13.7159,3,3,3,3,3,3,3,3,3,3,3,3,3,3
专业技术服务,2009/12/31,13.68783334,2.613118528,6.610017783,5.362648524,1.859196439,-0.753922089,0.161905047,-1.475410542,1.529971701,9.868142334,0.927540881,0.884517918,19.27328,0.317766667,10.71428,15.7495,1.29942,0.93868,3.723133333,47.84506,76.93306,21.75384,0.59614377,0.384930838,7.4877,5,5,5,5,5,5,5,5,5,5,5,5,5,5
专业技术服务,2010/12/31,22.00467648,4.718724568,9.724837805,9.768966034,4.270199838,-0.44852473,1.371723369,-2.415107311,2.546594923,16.31904629,1.273996028,1.204466155,14.623125,31.858725,9.864475,14.528625,2.005075,1.5123,4.175833333,46.860375,73.267575,27.813275,1.02196858,0.446612634,5.789566667,5,5,5,5,5,5,5,5,5,5,5,4,4,4
专业技术服务,2011/12/31,26.23695916,5.712379596,12.32173481,10.62726859,5.863348752,0.150969156,1.757066938,-4.115388515,4.021042685,22.19806155,3.062720344,2.87404362,21.546,45.98753333,15.283025,17.822225,2.52065,2.07735,5.268566667,38.2151,64.069275,29.972175,1.473650674,0.596572244,15.8431,6,6,6,5,5,5,5,4,4,4,4,4,4,4
专业技术服务,2012/12/31,18.49810145,3.790892628,9.61178229,8.203650395,5.984134459,2.19324183,1.734361203,-3.766619733,1.881969051,8.098446232,1.949989583,1.745950933,27.0942,22.5563,14.315425,19.475725,1.7051,1.4272,4.97515,45.373975,55.912875,36.993575,1.013736478,0.376680841,12.5267,6,6,6,4,4,4,4,4,4,4,4,4,4,4
专业技术服务,2013/12/31,30.20933072,6.799245597,14.30730602,11.60260914,7.303826111,0.504580515,2.203314046,-2.496907338,0.417948552,18.48434046,2.050582941,2.080768322,14.455875,9.29745,11.324075,15.055875,1.917325,1.543025,5.151133333,43.216675,57.959725,36.7942,1.095079354,0.455050464,7.765466667,6,6,6,6,6,4,4,4,4,4,4,4,4,4
专业技术服务,2014/12/31,24.48171647,4.013306708,13.26165979,9.914929862,6.358955457,2.345648748,2.783587187,-3.234539957,0.611835714,14.42688007,2.779059427,2.517686875,20.28013333,20.07816667,14.8459,19.54493333,1.651433333,1.386966667,5.56135,45.00073333,52.59446667,36.42876667,0.817289803,0.299526305,9.220066667,6,6,6,6,6,4,4,4,4,3,3,3,3,3
专业技术服务,2015/12/31,43.41733366,7.681700164,21.09814403,16.52601581,6.036533587,-1.645166578,1.678539727,-0.842453992,-0.332541368,21.99925865,2.127061956,1.866088771,12.54984,9.93326,8.54774,10.37274,2.02498,1.59596,4.341525,42.45436,64.09634,29.12234,1.035171107,0.441423675,9.410225,6,6,6,6,6,5,5,5,5,5,5,5,5,5
专业技术服务,2016/12/31,56.08564703,10.50808445,28.04262878,25.9457714,11.09320261,0.58511816,5.976708091,-5.195805168,3.043755224,26.42711972,4.34818566,3.711708175,13.7079,31.19723333,8.665933333,11.6262,1.616133333,1.1629,4.0333,49.70263333,75.74006667,31.2014,0.648146587,0.431042499,14.22753333,6,6,6,6,6,5,5,3,3,3,3,3,3,3
专业技术服务,2017/12/31,29.0761459,4.434809405,11.75027003,17.32587587,6.488518559,2.053709153,3.455703385,-1.183512389,-1.406320626,7.634442454,1.022235759,0.890671314,21.44766667,3.059566667,8.2414,11.09606667,0.743933333,0.5684,114.8046,47.1403,90.90783333,26.4343,0.348970964,0.294373559,16.45136667,4,4,4,4,4,4,4,4,4,4,4,3,3,3
个人电子,2003/12/31,99.14541828,10.74962654,40.23626408,51.35843355,32.48546723,21.73584069,-0.289857159,-2.410013939,3.655684819,112.5824344,3.869217292,3.743680487,4.02935,12.86186667,4.6787,10.9138,1.58715,1.091425,4.8607,58.012175,92.910075,52.10065,0.476030773,0.260446986,13.216825,4,4,4,4,4,4,4,4,4,4,4,4,4,4
